Overall_Rank,Year,City,State,EPRank,IERank,CERank
0,2017,Fremont,CA,2,1,1
1,2018,Fremont,CA,3,6,1
2,2019,Fremont,CA,10,37,1
3,2020,Fremont,CA,4,28,5
4,2017,San Jose,CA,1,3,15
5,2018,San Jose,CA,1,8,27
6,2019,San Jose,CA,1,18,44
7,2020,San Jose,CA,1,11,64
8,2017,Irvine,CA,5,9,6
9,2018,Irvine,CA,13,33,11
10,2019,Irvine,CA,14,11,5
11,2020,Irvine,CA,7,13,19
12,2017,San Francisco,CA,3,2,101
13,2018,San Francisco,CA,5,4,126
14,2019,San Francisco,CA,4,2,125
15,2020,San Francisco,CA,2,2,158
16,2017,Sioux Falls,SD,10,21,3
17,2018,Sioux Falls,SD,7,48,20
18,2019,Sioux Falls,SD,11,67,95
19,2020,Sioux Falls,SD,13,45,21