Overal_Rank,City,State_id,Lat,Lng,Emo_Rank,Income_Rank,Comm_Rank
1,Fremont,CA,37.5265,-121.9852,3,6,1
2,Bismarck,ND,46.81399999999999,-100.7695,4,1,7
3,San Jose,CA,37.3021,-121.8489,1,8,27
4,Pearl City,HI,21.4031,-157.9566,2,57,2
5,Plano,TX,33.0502,-96.7487,8,17,10
6,Fargo,ND,46.8653,-96.8292,12,2,13
7,Sioux Falls,SD,43.5397,-96.7321,7,48,20
8,Irvine,CA,33.6772,-117.7738,13,33,11
9,Huntington Beach,CA,33.696,-118.0025,16,25,28
10,Grand Prairie,TX,32.687,-97.0209,29,16,3
11,Madison,WI,43.0827,-89.3923,11,34,14
12,Columbia,MD,39.2004,-76.859,31,58,5
13,San Francisco,CA,37.7562,-122.443,5,4,126
14,Scottsdale,AZ,33.6872,-111.8651,54,27,6
15,Overland Park,KS,38.887,-94.68700000000001,23,54,34
16,Santa Clarita,CA,34.4155,-118.4992,28,51,24
17,Glendale,CA,34.1818,-118.2468,36,83,9
18,Oakland,CA,37.7903,-122.2165,6,45,143
19,St. Paul,MN,44.9477,-93.104,17,62,67
20,Gilbert,AZ,33.3103,-111.7463,60,13,23
21,Austin,TX,30.3006,-97.7517,10,11,163
22,Santa Rosa,CA,38.4458,-122.7067,22,37,79
23,Lincoln,NE,40.8088,-96.6796,38,77,26
24,Des Moines,IA,41.5725,-93.6105,18,71,122
25,Irving,TX,32.8584,-96.9702,25,15,132
26,Honolulu,HI,21.3294,-157.846,65,10,29
27,Garden Grove,CA,33.7787,-117.9601,40,90,31
28,Cedar Rapids,IA,41.9667,-91.6781,46,41,39
29,Anaheim,CA,33.839,-117.8573,30,61,59
30,Garland,TX,32.91,-96.6305,24,73,92
31,Minneapolis,MN,44.9635,-93.2678,9,40,134
32,San Diego,CA,32.8312,-117.1225,14,28,74
33,Charleston,SC,32.8151,-79.96300000000001,82,9,12
34,Seattle,WA,47.6211,-122.3244,42,5,99
35,Chula Vista,CA,32.6281,-117.0145,21,84,53
36,Rancho Cucamonga,CA,34.1248,-117.5666,70,26,30
37,Cape Coral,FL,26.6445,-81.9955,52,79,19
38,Port St. Lucie,FL,27.2796,-80.3884,45,92,56
39,Fort Worth,TX,32.7812,-97.3472,33,68,109
40,Chandler,AZ,33.2827,-111.8517,66,29,45
41,Raleigh,NC,35.8324,-78.6438,20,65,104
42,Peoria,AZ,33.7844,-112.29899999999999,73,49,21
43,Oceanside,CA,33.2247,-117.3083,19,139,50
44,Portland,ME,43.6773,-70.2715,49,46,105
45,Aurora,IL,41.7637,-88.2901,39,142,46
46,El Paso,TX,31.8479,-106.4309,37,43,130
47,Brownsville,TX,25.998,-97.4565,56,67,43
48,Chesapeake,VA,36.6778,-76.3024,85,127,4
49,Pembroke Pines,FL,26.0128,-80.3382,69,87,15
50,Arlington,TX,32.6998,-97.1251,35,99,110
51,Charlotte,NC,35.2079,-80.8304,46,101,48
52,Burlington,VT,44.4877,-73.2314,43,7,178
53,Oxnard,CA,34.1962,-119.1819,41,111,55
54,Virginia Beach,VA,36.7335,-76.0435,72,112,16
55,Aurora,CO,39.7084,-104.7274,48,86,83
56,Durham,NC,35.9795,-78.9032,26,55,96
57,Boise,ID,43.6007,-116.2312,76,35,62
58,Tempe,AZ,33.3881,-111.9318,74,47,81
59,Grand Rapids,MI,42.9615,-85.6557,78,64,47
60,Missoula,MT,46.8685,-114.0095,89,19,63
61,Yonkers,NY,40.9466,-73.8674,57,124,73
62,Omaha,NE,41.2628,-96.0498,59,74,91
63,Boston,MA,42.3188,-71.0846,62,18,106
64,Rapid City,SD,44.0716,-103.2205,101,52,17
65,Billings,MT,45.7889,-108.5509,93,23,52
66,Denver,CO,39.7621,-104.8759,32,63,131
67,Fontana,CA,34.0968,-117.4599,91,66,22
68,Colorado Springs,CO,38.8674,-104.7606,88,59,36
69,Juneau,AK,58.4546,-134.1739,58,3,152
70,Long Beach,CA,33.798,-118.1675,51,93,116
71,Santa Ana,CA,33.7366,-117.8819,44,110,120
72,Cheyenne,WY,41.1405,-104.7927,96,22,94
73,Washington,DC,38.9047,-77.0163,15,31,171
74,Tallahassee,FL,30.4551,-84.2527,95,38,117
75,Los Angeles,CA,34.1139,-118.4068,50,72,127
76,Anchorage,AK,61.1508,-149.1091,87,56,72
77,Mesa,AZ,33.4017,-111.7181,79,88,87
78,Las Cruces,NM,32.3265,-106.7893,67,100,86
79,Riverside,CA,33.9381,-117.3948,83,53,101
80,New York,NY,40.6943,-73.9249,71,113,77
81,Dallas,TX,32.7936,-96.7662,27,95,172
82,Moreno Valley,CA,33.9244,-117.2045,94,115,44
83,Nashua,NH,42.7491,-71.491,103,44,93
84,South Burlington,VT,44.4622,-73.2203,75,30,168
85,Ontario,CA,34.0393,-117.6064,90,118,58
86,Portland,OR,45.5371,-122.65,99,12,107
87,Jersey City,NJ,40.7161,-74.0683,77,144,76
88,Reno,NV,39.5497,-119.8483,102,89,61
89,Orlando,FL,28.4772,-81.3369,61,76,154
90,Pittsburgh,PA,40.4396,-79.9763,120,60,35
91,Fort Lauderdale,FL,26.1412,-80.1464,80,105,173
92,Amarillo,TX,35.1989,-101.831,145,21,33
93,Laredo,TX,27.5617,-99.4874,34,69,165
94,San Antonio,TX,29.4658,-98.5254,98,32,139
95,Warwick,RI,41.7062,-71.4334,134,42,8
96,Atlanta,GA,33.7627,-84.4225,68,145,114
97,Kansas City,MO,39.1239,-94.5541,105,131,60
98,Salt Lake City,UT,40.7774,-111.93,100,91,119
99,Chicago,IL,41.8373,-87.6862,53,173,112
100,Modesto,CA,37.6374,-121.0028,124,106,32
101,Casper,WY,42.842,-106.3207,139,81,54
102,Nampa,ID,43.5843,-116.5628,109,140,41
103,Lewiston,ME,44.0915,-70.1681,159,50,66
104,Nashville,TN,36.1715,-86.7843,127,102,42
105,Henderson,NV,36.0146,-115.0362,131,137,25
106,Vancouver,WA,45.6367,-122.59700000000001,119,96,70
107,Fort Wayne,IN,41.0885,-85.1436,81,128,137
108,Tacoma,WA,47.2431,-122.4531,110,98,115
109,Huntsville,AL,34.6988,-86.6412,152,82,18
110,Manchester,NH,42.9848,-71.4447,111,78,133
111,West Valley City,UT,40.6889,-112.0115,113,94,125
112,Columbus,OH,39.986,-82.9851,122,138,51
113,Houston,TX,29.7869,-95.3905,55,134,179
114,Sacramento,CA,38.5667,-121.4683,92,85,148
115,Glendale,AZ,33.5797,-112.2258,86,148,145
116,Salem,OR,44.9232,-123.0245,147,20,108
117,Columbia,SC,34.0376,-80.9037,144,39,88
118,Springfield,MO,37.1943,-93.2915,138,107,68
119,Greensboro,NC,36.0956,-79.8268,112,114,111
121,Newport News,VA,37.1051,-76.5185,116,152,98
122,Phoenix,AZ,33.5722,-112.0891,84,141,153
123,Spokane,WA,47.6671,-117.43299999999999,140,75,69
124,Hialeah,FL,25.8696,-80.3046,64,168,180
125,Bakersfield,CA,35.353,-119.0359,129,117,102
126,Miami,FL,25.7839,-80.2102,63,120,182
127,Tampa,FL,27.9942,-82.4451,126,108,128
128,San Bernardino,CA,34.1417,-117.2945,107,149,155
129,Wichita,KS,37.6897,-97.3441,114,126,157
130,Lubbock,TX,33.5642,-101.8871,142,14,169
131,Tucson,AZ,32.1545,-110.8782,104,121,160
132,Bridgeport,CT,41.1918,-73.1953,108,153,147
133,Jacksonville,FL,30.3322,-81.6749,132,125,124
134,Norfolk,VA,36.8945,-76.259,118,150,129
135,Oklahoma City,OK,35.4676,-97.5137,156,122,64
136,Worcester,MA,42.2705,-71.8079,133,116,138
137,St. Petersburg,FL,27.793000000000003,-82.6652,143,36,161
138,Corpus Christi,TX,27.7261,-97.3755,148,24,164
139,Providence,RI,41.823,-71.4187,158,135,37
140,Winston-Salem,NC,36.1029,-80.26100000000001,125,132,144
141,Albuquerque,NM,35.1053,-106.6464,130,109,159
142,Milwaukee,WI,43.0642,-87.9673,115,169,141
143,Louisville,KY,38.1663,-85.6485,165,135,49
144,Indianapolis,IN,39.7771,-86.1458,137,172,89
145,North Las Vegas,NV,36.288000000000004,-115.0901,162,162,40
146,Fresno,CA,36.7831,-119.7941,106,163,151
147,Rochester,NY,43.168,-77.6162,123,157,158
148,New Orleans,LA,30.0687,-89.9288,160,133,78
149,Knoxville,TN,35.9692,-83.9496,170,104,38
150,Cincinnati,OH,39.1412,-84.506,141,165,100
151,Richmond,VA,37.5295,-77.4756,117,159,176
152,Dover,DE,39.161,-75.5203,97,130,177
153,Baton Rouge,LA,30.4419,-91.131,136,103,167
154,Stockton,CA,37.9766,-121.3111,128,151,149
155,Buffalo,NY,42.9017,-78.8487,146,154,135
156,Las Vegas,NV,36.2333,-115.2654,155,156,123
157,Fayetteville,NC,35.0846,-78.9776,169,147,85
158,New Haven,CT,41.3112,-72.9246,150,160,150
159,Baltimore,MD,39.3051,-76.6144,135,158,166
160,Akron,OH,41.0798,-81.5219,157,171,113
161,Augusta,GA,33.3645,-82.0708,164,170,80
162,Chattanooga,TN,35.0657,-85.2487,172,129,97
163,Philadelphia,PA,40.0077,-75.1339,171,143,103
164,Fort Smith,AR,35.3493,-94.3695,177,119,65
165,Montgomery,AL,32.3473,-86.2666,166,175,75
166,Memphis,TN,35.1046,-89.9773,153,179,136
167,Jackson,MS,32.3163,-90.2124,163,177,90
168,St. Louis,MO,38.6358,-90.2451,151,178,146
169,Newark,NJ,40.7245,-74.1725,121,182,170
170,Tulsa,OK,36.1284,-95.9043,168,123,162
171,Toledo,OH,41.6639,-83.5822,167,161,140
172,Shreveport,LA,32.4659,-93.7959,174,164,95
173,Cleveland,OH,41.4767,-81.6805,154,180,156
174,Columbus,GA,32.51,-84.8771,175,167,57
175,Mobile,AL,30.6782,-88.1163,176,174,84
176,Wilmington,DE,39.7415,-75.5413,161,155,181
177,Charleston,WV,38.3484,-81.6323,180,70,121
178,Little Rock,AR,34.7255,-92.35799999999999,178,146,118
179,Gulfport,MS,30.4271,-89.0703,179,166,82
180,Huntington,WV,38.4109,-82.4344,181,97,142
181,Birmingham,AL,33.5277,-86.7987,173,176,175
182,Detroit,MI,42.3834,-83.1024,182,181,174
